product_sku,period_start,period_end,units_sold,revenue,cost
PB-009,2024-01-15,2024-01-21,88,4399.12,1936.00
PB-009,2024-01-22,2024-01-28,118,5898.82,2596.00
PB-009,2024-01-29,2024-02-04,98,4899.02,2156.00
PB-009,2024-02-05,2024-02-11,112,5598.88,2464.00
PB-009,2024-02-12,2024-02-18,92,4599.08,2024.00
PB-009,2024-02-19,2024-02-25,128,6398.72,2816.00
PB-009,2024-02-26,2024-03-03,102,5098.98,2244.00
PB-009,2024-03-04,2024-03-10,135,6748.65,2970.00
MP-010,2024-01-01,2024-01-07,142,3548.58,1136.00
MP-010,2024-01-08,2024-01-14,155,3873.45,1240.00
MP-010,2024-01-15,2024-01-21,128,3198.72,1024.00
MP-010,2024-01-22,2024-01-28,172,4298.28,1376.00
MP-010,2024-01-29,2024-02-04,145,3623.55,1160.00
MP-010,2024-02-05,2024-02-11,165,4123.35,1320.00
MP-010,2024-02-12,2024-02-18,138,3448.62,1104.00
MP-010,2024-02-19,2024-02-25,185,4623.15,1480.00
MP-010,2024-02-26,2024-03-03,152,3798.48,1216.00
MP-010,2024-03-04,2024-03-10,195,4873.05,1560.00

